"Code","Name","Continent","Region","Population","LifeExpectancy","GNP","GovernmentForm","HeadOfState"
"CRI","Costa Rica","North America","Central America","4023000","75.8","10226","Republic","Miguel Ángel Rodríguez Echeverría"
"CUB","Cuba","North America","Caribbean","11201000","76.2","17843","Socialistic Republic","Fidel Castro Ruz"
"CXR","Christmas Island","Oceania","Australia and New Zealand","2500","","0","Territory of Australia","Elizabeth II"
"CYM","Cayman Islands","North America","Caribbean","38000","78.9","1263","Dependent Territory of the UK","Elizabeth II"
"CYP","Cyprus","Asia","Middle East","754700","76.7","9333","Republic","Glafkos Klerides"
"CZE","Czech Republic","Europe","Eastern Europe","10278100","74.5","55017","Republic","Václav Havel"
"DEU","Germany","Europe","Western Europe","82164700","77.4","2133367","Federal Republic","Johannes Rau"
"DJI","Djibouti","Africa","Eastern Africa","638000","50.8","382","Republic","Ismail Omar Guelleh"
"DMA","Dominica","North America","Caribbean","71000","73.4","256","Republic","Vernon Shaw"
"DNK","Denmark","Europe","Nordic Countries","5330000","76.5","174099","Constitutional Monarchy","Margrethe II"
"DOM","Dominican Republic","North America","Caribbean","8495000","73.2","15846","Republic","Hipólito Mejía Domínguez"
"DZA","Algeria","Africa","Northern Africa","31471000","69.7","49982","Republic","Abdelaziz Bouteflika"
"ECU","Ecuador","South America","South America","12646000","71.1","19770","Republic","Gustavo Noboa Bejarano"
"EGY","Egypt","Africa","Northern Africa","68470000","63.3","82710","Republic","Hosni Mubarak"
